STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
4,AZ,85008,0,22180
4,AZ,85009,0,16300
4,AZ,85012,0,3530
4,AZ,85013,0,9310
4,AZ,85014,0,11600
4,AZ,85015,0,15580
4,AZ,85016,0,16730
4,AZ,85017,0,14450
4,AZ,85018,0,17490
4,AZ,85019,0,9970
4,AZ,85020,0,15420
4,AZ,85021,0,15530
4,AZ,85022,0,21990
4,AZ,85023,0,14780
4,AZ,85024,0,11470
4,AZ,85027,0,17130
4,AZ,85028,0,10030
4,AZ,85029,0,18680
4,AZ,85031,0,10910
4,AZ,85032,0,29910
4,AZ,85033,0,20310
4,AZ,85034,0,1850
4,AZ,85035,0,18260
4,AZ,85037,0,18610
4,AZ,85040,0,11130
4,AZ,85041,0,21980
4,AZ,85042,0,16720
4,AZ,85043,0,12280
4,AZ,85044,0,19090
4,AZ,85045,0,3120
4,AZ,85048,0,15410
4,AZ,85050,0,13020
4,AZ,85051,0,16630
4,AZ,85053,0,12860
4,AZ,85054,0,2510
4,AZ,85083,0,7520
4,AZ,85085,0,9140
4,AZ,85086,0,15580
4,AZ,85087,0,3420
4,AZ,85118,0,5010
4,AZ,85119,0,7730
4,AZ,85120,0,9570
4,AZ,85122,0,17760
4,AZ,85128,0,4900
4,AZ,85131,0,3920
4,AZ,85132,0,5900
4,AZ,85137,0,840
4,AZ,85138,0,12100
4,AZ,85139,0,6590
4,AZ,85140,0,11220
4,AZ,85142,0,18840
4,AZ,85143,0,11850
4,AZ,85145,0,660
4,AZ,85172,0,820
4,AZ,85173,0,980
4,AZ,85192,0,530
4,AZ,85193,0,1110
4,AZ,85194,0,2190
4,AZ,85201,0,19210
4,AZ,85202,0,17100
4,AZ,85203,0,14460
4,AZ,85204,0,24650
4,AZ,85205,0,16680
4,AZ,85206,0,14640
4,AZ,85207,0,18340
4,AZ,85208,0,13480
4,AZ,85209,0,15590
4,AZ,85210,0,14970
4,AZ,85212,0,10500
4,AZ,85213,0,13010
4,AZ,85215,0,7180
4,AZ,85223,0,120
4,AZ,85224,0,21380
4,AZ,85225,0,29770
4,AZ,85226,0,17890
4,AZ,85233,0,17060
4,AZ,85234,0,20810
4,AZ,85248,0,15370
4,AZ,85249,0,15950
4,AZ,85250,0,8930
4,AZ,85251,0,18540
4,AZ,85253,0,7780
4,AZ,85254,0,22430
4,AZ,85255,0,18090
4,AZ,85256,0,2170
4,AZ,85257,0,13710
4,AZ,85258,0,12230
4,AZ,85259,0,10200
4,AZ,85260,0,18660
4,AZ,85262,0,4840
4,AZ,85263,0,840
4,AZ,85264,0,590
4,AZ,85266,0,4700
4,AZ,85268,0,10560
4,AZ,85281,0,20170
4,AZ,85282,0,23410
4,AZ,85283,0,21300
4,AZ,85284,0,8890
4,AZ,85286,0,15370
4,AZ,85295,0,16100
4,AZ,85296,0,17180
4,AZ,85297,0,11710
4,AZ,85298,0,9680
4,AZ,85301,0,21890
4,AZ,85302,0,15880
4,AZ,85303,0,12270
4,AZ,85304,0,11840
4,AZ,85305,0,5180
4,AZ,85306,0,10670
4,AZ,85307,0,3640
4,AZ,85308,0,29310
4,AZ,85309,0,410
4,AZ,85310,0,9000
4,AZ,85321,0,1370
4,AZ,85322,0,230
4,AZ,85323,0,14940
4,AZ,85324,0,1100
4,AZ,85326,0,19060
4,AZ,85331,0,11710
4,AZ,85333,0,220
4,AZ,85335,0,12740
4,AZ,85337,0,1020
4,AZ,85338,0,18600
4,AZ,85339,0,15680
4,AZ,85340,0,11790
4,AZ,85342,0,500
4,AZ,85344,0,3930
4,AZ,85345,0,23420
4,AZ,85347,0,170
4,AZ,85348,0,640
4,AZ,85350,0,7300
4,AZ,85351,0,13120
4,AZ,85353,0,14030
4,AZ,85354,0,2230
4,AZ,85355,0,4100
4,AZ,85356,0,1200
4,AZ,85361,0,2280
4,AZ,85363,0,2560
4,AZ,85364,0,27470
4,AZ,85365,0,16010
4,AZ,85367,0,6680
4,AZ,85373,0,7820
4,AZ,85374,0,17060
4,AZ,85375,0,13060
4,AZ,85379,0,15680
4,AZ,85381,0,11640
4,AZ,85382,0,18500
4,AZ,85383,0,16590
4,AZ,85387,0,4400
4,AZ,85388,0,9540
4,AZ,85390,0,2530
4,AZ,85392,0,15420
4,AZ,85395,0,10610
4,AZ,85396,0,5720
4,AZ,85501,0,3280
4,AZ,85533,0,920
4,AZ,85534,0,850
4,AZ,85539,0,1040
4,AZ,85540,0,1440
4,AZ,85541,0,8410
4,AZ,85542,0,820
4,AZ,85543,0,1250
4,AZ,85544,0,1100
4,AZ,85545,0,180
4,AZ,85546,0,5710
4,AZ,85552,0,2380
4,AZ,85602,0,3790
4,AZ,85603,0,2880
4,AZ,85606,0,340
4,AZ,85607,0,6270
4,AZ,85610,0,430
4,AZ,85611,0,290
4,AZ,85613,0,1430
4,AZ,85614,0,9860
4,AZ,85615,0,3820
4,AZ,85616,0,2150
4,AZ,85617,0,430
4,AZ,85618,0,600
4,AZ,85621,0,8560
4,AZ,85622,0,3160
4,AZ,85623,0,1770
4,AZ,85624,0,510
4,AZ,85625,0,730
4,AZ,85629,0,9940
4,AZ,85630,0,920
4,AZ,85631,0,1270
4,AZ,85632,0,250
4,AZ,85634,0,2070
4,AZ,85635,0,14720
4,AZ,85637,0,580
4,AZ,85638,0,890
4,AZ,85640,0,320
4,AZ,85641,0,9700
4,AZ,85643,0,2640
4,AZ,85645,0,810
4,AZ,85648,0,7390
4,AZ,85650,0,6370
4,AZ,85653,0,5340
4,AZ,85658,0,4300
4,AZ,85701,0,2480
4,AZ,85704,0,15250
4,AZ,85705,0,20880
4,AZ,85706,0,20150
4,AZ,85708,0,1200
4,AZ,85710,0,25410
4,AZ,85711,0,17390
4,AZ,85712,0,14020
4,AZ,85713,0,17470
4,AZ,85714,0,5430
4,AZ,85715,0,8920
4,AZ,85716,0,13770
4,AZ,85718,0,13530
4,AZ,85719,0,13930
4,AZ,85730,0,17200
4,AZ,85735,0,4130
4,AZ,85736,0,1380
4,AZ,85737,0,10160
4,AZ,85739,0,7950
4,AZ,85741,0,15060
4,AZ,85742,0,11800
4,AZ,85743,0,12210
4,AZ,85745,0,15910
4,AZ,85746,0,16450
4,AZ,85747,0,9830
4,AZ,85748,0,9100
4,AZ,85749,0,9040
4,AZ,85750,0,11690
4,AZ,85755,0,6820
4,AZ,85756,0,11380
4,AZ,85757,0,6810
4,AZ,85901,0,5090
4,AZ,85920,0,230
4,AZ,85924,0,740
4,AZ,85925,0,1480
4,AZ,85928,0,480
4,AZ,85929,0,3180
4,AZ,85935,0,1990
4,AZ,85936,0,1280
4,AZ,85937,0,2760
4,AZ,85938,0,980
4,AZ,86001,0,16730
4,AZ,86004,0,15960
4,AZ,86022,0,750
4,AZ,86024,0,250
4,AZ,86025,0,2080
4,AZ,86036,0,110
4,AZ,86044,0,1140
4,AZ,86046,0,2340
4,AZ,86047,0,4630
4,AZ,86301,0,9660
4,AZ,86303,0,7800
4,AZ,86305,0,7930
4,AZ,86314,0,14110
4,AZ,86315,0,2980
4,AZ,86321,0,860
4,AZ,86322,0,4640
4,AZ,86323,0,7220
4,AZ,86324,0,1820
4,AZ,86325,0,2280
4,AZ,86326,0,10210
4,AZ,86327,0,4040
4,AZ,86332,0,520
4,AZ,86333,0,1960
4,AZ,86334,0,1570
4,AZ,86335,0,1620
4,AZ,86336,0,5290
4,AZ,86351,0,2860
4,AZ,86401,0,9180
4,AZ,86403,0,6620
4,AZ,86404,0,6420
4,AZ,86406,0,9230
4,AZ,86409,0,9250
4,AZ,86413,0,3330
4,AZ,86426,0,5270
4,AZ,86429,0,2970
4,AZ,86434,0,600
4,AZ,86436,0,650
4,AZ,86440,0,2470
4,AZ,86441,0,520
4,AZ,86442,0,12290
4,AZ,86444,0,370
4,AZ,86445,0,140
4,AZ,86514,0,600
4,AZ,99999,0,157260
5,AR,0,0,1201570
5,AR,71601,0,5950
5,AR,71602,0,7060
5,AR,71603,0,13290
5,AR,71631,0,240
5,AR,71635,0,5050
5,AR,71638,0,1220
5,AR,71639,0,2630
5,AR,71640,0,1110
5,AR,71642,0,250
5,AR,71643,0,450
5,AR,71644,0,350
5,AR,71646,0,2500
5,AR,71647,0,670
5,AR,71652,0,400
5,AR,71653,0,1980
5,AR,71654,0,1710
5,AR,71655,0,5290
5,AR,71658,0,240
5,AR,71660,0,320
5,AR,71663,0,290
5,AR,71665,0,2250
5,AR,71667,0,2940
5,AR,71670,0,520
5,AR,71671,0,3390
5,AR,71674,0,260
5,AR,71675,0,730
5,AR,71676,0,270
5,AR,71701,0,7410
5,AR,71720,0,1010
5,AR,71725,0,230
5,AR,71726,0,480
5,AR,71730,0,13390
5,AR,71740,0,660
5,AR,71742,0,2130
5,AR,71743,0,1560
5,AR,71744,0,1180
5,AR,71747,0,380
5,AR,71749,0,1000
5,AR,71751,0,350
5,AR,71752,0,370
5,AR,71753,0,5730
5,AR,71758,0,170
5,AR,71762,0,1030
5,AR,71763,0,650
5,AR,71764,0,680
5,AR,71765,0,890
